Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Purchase,Collection Purchase - Detail,Collection Lyrics,Collection MoFi Sleeve,Collection 1st Play,Collection 2nd Play,Collection 3rd Play,Collection 4th Play,Collection 5th Play,Collection 6th Play,Collection 7th Play,Collection 8th Play,Collection 9th Play,Collection 10th Play,Collection Purchase Date,Collection Color,api_url,genre,style,num_songs,format,format_qty,community_have,community_want,rating_avg,rating_count,date_played,year,runtime
MSAP0015LP,Run The Jewels,Bust No Moves,Mass Appeal,"12"", Single, Ltd, Cle",4,2015,6910093,Vinyl LPs (New),4/18/2015 17:26,Mint (M),Mint (M),"Park Ave CDs
",NA,NA,NA,5/22/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clear,https://api.discogs.com/releases/6910093,Hip Hop,Conscious,6,Vinyl,1,3563,1007,4.24,203,5/22/2022,2015,12
B0026745-01,Kendrick Lamar,Damn.,"Top Dawg Entertainment, Aftermath Entertainment, Interscope Records, Aftermath/Interscope Records","2xLP, Album, Gat",NA,2017,10559651,Vinyl LPs (New),12/6/2017 7:29,Mint (M),Mint (M),Other,NA,NA,Yes x2,5/22/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/10559651,Hip Hop,Conscious,14,Vinyl,2,18701,6935,4.61,1051,5/22/2022,2017,55
1.90296E+11,Charli XCX,Crash,Asylum Records,"LP, Album",NA,2022,23103671,Vinyl LPs (New),5/27/2022 3:21,Mint (M),Mint (M),Label,NA,Yes,Yes,5/27/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/23103671,Electronic,Dance-pop,12,Vinyl,1,927,171,4.5,34,5/27/2022,2022,34
AGE101002LP,Little Simz,Sometimes I Might Be Introvert,Age 101 Music,"2xLP, Album, Ltd, Red",NA,2021,20162380,Vinyl LPs (New),9/24/2021 7:33,Very Good Plus (VG+),Mint (M),Label,NA,No,Yes x2,9/24/2021,5/27/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red, Red",https://api.discogs.com/releases/20162380,Hip Hop,Conscious,19,Vinyl,2,807,347,4.73,40,5/27/2022,2021,65
"GLS-0300-01, GLS-0292-01",Chvrches,Screen Violence,"Glassnote (2), Glassnote (2), Goodbye Records (2)","LP, Album, Red",NA,2021,20017387,Vinyl LPs (New),9/12/2021 6:23,Mint (M),Mint (M),"Park Ave CDs
",NA,Yes,Yes,9/14/2021,11/26/2021,3/1/2022,5/27/2022,2/15/2023,NA,NA,NA,NA,NA,NA,Red,https://api.discogs.com/releases/20017387,Electronic,Synth-pop,10,Vinyl,1,1899,170,4.6,89,5/27/2022,2021,42.78
TPLP803DMM,Asobi Seksu,Citrus,One Little Indian,"2xLP, Album, RE, 180",NA,2017,10172569,Vinyl LPs (New),4/25/2020 12:55,Mint (M),Mint (M),eBay,discountvinylrecords,NA,Yes x2,4/24/2020,2/13/2021,5/29/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/10172569,Rock,Shoegaze,13,Vinyl,2,444,444,4.69,49,5/29/2022,2006,47.5
"DOC250, DOC250LP-C2",Mitski,Laurel Hell,"Dead Oceans, Dead Oceans","LP, Album, Ltd, Red",NA,2022,21986146,Vinyl LPs (New),2/2/2022 13:34,Mint (M),Mint (M),Label,Secretly Group,Yes,No,2/2/2022,5/30/2022,3/27/2023,NA,NA,NA,NA,NA,NA,NA,NA,Red/Black,https://api.discogs.com/releases/21986146,Rock,Indie Rock,11,Vinyl,1,2486,633,4.48,77,5/30/2022,2022,32.42
none,Chvrches,Recover EP,Glassnote (2),"12"", EP, RSD, Ltd, Num, Ora",4,2014,5609313,Vinyl LPs (New),7/16/2015 17:46,Mint (M),Mint (M),eBay,NA,No,No,6/1/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Orange,https://api.discogs.com/releases/5609313,Electronic,Synth-pop,5,Vinyl,1,939,335,4.39,80,6/1/2022,2013,21.48
GLS-0196-01,Chvrches,Every Open Eye (The Remixes),"Glassnote (2), Goodbye Records (2)","12"", EP, RSD, Ltd",NA,2016,8241863,Vinyl LPs (New),10/31/2016 4:19,Mint (M),Mint (M),eBay,NA,NA,No,6/1/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/8241863,Electronic,Synth-pop,6,Vinyl,1,1212,190,4.1,60,6/1/2022,2016,20
GLS-0245-10,Chvrches,Hansa_Session_EP,"Glassnote (2), Virgin EMI Records, Goodbye Records (2)","10"", EP",NA,2018,12954072,"Vinyl 10""",12/21/2018 16:12,Mint (M),Mint (M),Amazon,NA,NA,N/A,6/1/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/12954072,Pop,Indie Pop,5,Vinyl,1,1385,157,4.57,67,6/1/2022,2018,19
6.02548E+11,Chvrches,The Mother We Share,"Goodbye Records (2), Virgin, UMC","12"", Maxi, RE",NA,2016,9210256,Vinyl LPs (New),11/14/2016 19:36,NA,NA,eBay,NA,NA,No,6/1/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/9210256,Electronic,Synth-pop,5,Vinyl,1,214,216,4,15,6/1/2022,2013,22
3780474,Chvrches,We Sink,"Vertigo, Goodbye Records (2)","7"", RSD, Ltd, Gre",4,2014,5609783,"Vinyl 7""",4/20/2015 20:21,Mint (M),Mint (M),Other,NA,NA,NA,4/24/2015,6/1/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/5609783,Electronic,Synth-pop,2,Vinyl,1,413,350,4.42,36,6/1/2022,2014,7
"VS 2116, 00602547200990",Chvrches,Get Away / Dead Air,"Virgin EMI Records, Virgin EMI Records","7"", RSD, Single, Ltd",4,2015,6910863,"Vinyl 7""",7/16/2015 17:43,Mint (M),Mint (M),eBay,bubalitoys,No,N/A,6/2/2015,6/1/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/6910863,Electronic,Synth-pop,2,Vinyl,1,308,361,4.56,27,6/1/2022,2014,8
"VST 2083, 00602537635696",Chvrches,Lies,"Virgin EMI Records, Virgin EMI Records, Goodbye Records (2)","12"", Single, Pur",4,2013,5155108,Vinyl LPs (New),12/5/2014 2:32,Mint (M),Mint (M),Amazon,NA,NA,NA,12/10/2014,6/1/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,Purple,https://api.discogs.com/releases/5155108,Electronic,Synth-pop,5,Vinyl,1,560,373,4.28,53,6/1/2022,2013,15
"VST 2072, 00602537457762",Chvrches,Gun,"Virgin, Goodbye Records (2)","12"", EP, Pin",4,2013,4727986,Vinyl LPs (New),4/27/2015 15:58,Near Mint (NM or M-),Mint (M),Amazon,NA,NA,Yes,4/27/2015,6/1/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pink,https://api.discogs.com/releases/4727986,Electronic,Synth-pop,4,Vinyl,1,594,371,4.1,62,6/1/2022,2013,12
"GLS-0163-12, 810599020620",Chvrches,Under The Tide,"Glassnote (2), Goodbye Records (2)","12"", RSD, Ltd, Yel",4,2014,6353961,Vinyl LPs (New),11/28/2014 18:38,Mint (M),Mint (M),"Park Ave CDs
",NA,NA,NA,11/28/2014,12/10/2014,4/19/2015,6/1/2022,NA,NA,NA,NA,NA,NA,NA,Yellow,https://api.discogs.com/releases/6353961,Electronic,Indie Pop,5,Vinyl,1,1718,337,4.16,117,6/1/2022,2014,21
IDIB38,Chromatics,Kill For Love,Italians Do It Better,"2xLP, Album, RP, Whi",4,2015,6604137,Vinyl LPs (New),2/2/2015 21:32,Mint (M),Mint (M),Label,Italians Do It Better,NA,NA,4/15/2015,4/15/2018,6/3/2022,NA,NA,NA,NA,NA,NA,NA,NA,"White, White",https://api.discogs.com/releases/6604137,Electronic,Italo-Disco,16,Vinyl,2,231,287,4.4,20,6/3/2022,2012,77
IDIB049,Chromatics,Shadow,Italians Do It Better,"12"", Ivo",NA,2018,12824497,Vinyl LPs (New),2/5/2020 15:09,Mint (M),Mint (M),Label,Italians Do It Better,NA,Yes,6/4/2022,3/24/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,White/Clear,https://api.discogs.com/releases/12824497,Electronic,Synth-pop,6,Vinyl,1,145,136,4.84,19,6/4/2022,2017,10.7
IDIB237,Chromatics,Closer To Grey,Italians Do It Better,"2xLP, Album, Blu",NA,2020,14635357,Vinyl LPs (New),2/5/2020 15:09,Mint (M),Mint (M),Label,Italians Do It Better,NA,Yes x2,6/4/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blue, Blue",https://api.discogs.com/releases/14635357,Electronic,Synth-pop,12,Vinyl,2,704,241,4.54,48,6/4/2022,2019,45.9
IDIB238,Chromatics,Faded Now,Italians Do It Better,"LP, Album, Whi",NA,2020,16434267,Vinyl LPs (New),6/5/2022 9:20,Mint (M),Mint (M),"Label
",Italians Do It Better,NA,NA,6/5/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,https://api.discogs.com/releases/16434267,Electronic,Electro,13,Vinyl,1,113,181,4.29,7,6/5/2022,2020,47.5
IDIB051,Chromatics,Just Like You,Italians Do It Better,"12"", Cle",NA,2016,8482134,Vinyl LPs (New),2/5/2020 15:09,Mint (M),Mint (M),Label,Italians Do It Better,NA,Yes,2/24/2020,6/5/2022,3/20/2023,NA,NA,NA,NA,NA,NA,NA,NA,Blue/Clear,https://api.discogs.com/releases/8482134,Electronic,Synth-pop,8,Vinyl,1,674,234,4.59,56,6/5/2022,2016,31
XLLP 138,The Avalanches,Since I Left You,XL Recordings,"2xLP, Album, RE, RP, Gat",NA,2016,8827979,Vinyl LPs (New),9/22/2016 15:01,Mint (M),Mint (M),Amazon,NA,NA,Yes x2,9/22/2016,2/18/2020,6/10/2022,11/2/2022,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/8827979,Electronic,Leftfield,18,Vinyl,2,3180,1255,4.66,338,6/10/2022,2000,60
CAD 2K19,Cocteau Twins,Stars And Topsoil A Collection (1982-1990),4AD,"2xLP, Comp, RM",NA,2012,3384946,Vinyl LPs (New),8/3/2018 3:31,"Mint (M)
","Mint (M)
",Other,NA,NA,Yes x2,6/13/2022,4/17/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/3384946,Rock,Alternative Rock,18,Vinyl,2,1120,226,4.53,83,6/13/2022,2000,72
2547911049,The Avalanches,Wildflower,"Astralwerks, Modular Recordings","2xLP, Album, Club, Ltd, Num, Red",NA,2016,8666658,Vinyl LPs (New),7/14/2016 12:09,Mint (M),Mint (M),Label,Vinyl Me Please,NA,Yes x2,6/13/2022,11/2/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red, Red",https://api.discogs.com/releases/8666658,Electronic,Abstract,21,Vinyl,2,1085,950,4.4,92,6/13/2022,2016,64
MP160-1,Courtney Barnett,The Double EP: A Sea Of Split Peas,Mom + Pop,"2xLP, EP, Comp",4,2014,6534663,Vinyl LPs (New),1/27/2015 4:27,Mint (M),Mint (M),Amazon,NA,NA,Yes x2,1/26/2015,6/13/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/6534663,Rock,Alternative Rock,14,Vinyl,2,4120,415,4.41,218,6/13/2022,2013,56.33
PRC-378,Julia Jacklin,Crushing,Polyvinyl Record Company,"LP, Album, Gre",NA,2019,13194434,Vinyl LPs (New),6/20/2019 15:02,Mint (M),Mint (M),eBay,sirenrecords,Yes,Yes,6/20/2019,7/3/2021,6/13/2022,NA,NA,NA,NA,NA,NA,NA,NA,Green,https://api.discogs.com/releases/13194434,Rock,Indie Rock,10,Vinyl,1,1095,420,4.32,57,6/13/2022,2019,39.5
IDIB097,Double Mixte,Romance Noire,Italians Do It Better,"12"", EP, 180",NA,2019,13186315,Vinyl LPs (New),6/15/2022 17:44,Mint (M),Mint (M),Label,Italians Do It Better,NA,Yes,6/15/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/31/2020 12:00,Pink,https://api.discogs.com/releases/13186315,Electronic,Synth-pop,8,Vinyl,1,133,51,4.83,6,6/15/2022,2019,34.75
ATO0142,Alabama Shakes,Boys & Girls,ATO Records,"LP, Album, RE",NA,2016,8403733,Vinyl LPs (New),12/26/2017 0:41,NA,NA,Amazon,Gift,NA,Yes,6/17/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/8403733,Rock,Southern Rock,11,Vinyl,1,3217,329,4.29,201,6/17/2022,2012,36.3
"ATO0269, 082226718",Alabama Shakes,Sound & Color,"ATO Records, ATO Records","LP, Cle + LP, S/Sided, Cle + Album, Gat",NA,2015,6764040,Vinyl LPs (New),12/26/2017 0:41,NA,NA,Amazon,Gift,NA,NA,6/17/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clear, Clear",https://api.discogs.com/releases/6764040,Rock,Alternative Rock,12,Vinyl,1,11484,1997,4.4,926,6/17/2022,2015,47.5
PRC-282,Alvvays,Alvvays,Polyvinyl Record Company,"LP, Album, Blu",NA,2014,5892370,Vinyl LPs (New),12/6/2017 20:38,Mint (M),Mint (M),Amazon,NA,NA,NA,6/17/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue,https://api.discogs.com/releases/5892370,Rock,Indie Rock,9,Vinyl,1,4137,988,4.43,330,6/17/2022,2014,33
SP 755,Blitzen Trapper,Furr,Sub Pop,"LP, Album",NA,2008,1513524,Vinyl LPs (New),6/23/2016 4:12,"Mint (M)
","Mint (M)
",Amazon,NA,NA,NA,6/17/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/1513524,Rock,Alternative Rock,13,Vinyl,1,2087,277,4.16,142,6/17/2022,2008,39
B0008994-01,Amy Winehouse,Back To Black,Universal Republic Records,"LP, Album, Ste",NA,2006,2848009,Vinyl LPs (New),4/5/2016 4:55,NA,NA,GoHastings,NA,NA,No,6/17/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/2848009,Jazz,Contemporary R&B,11,Vinyl,1,24128,5418,4.58,1644,6/17/2022,2006,34.75
4AD0102LP,Aldous Harding,Designer,4AD,"LP, Album",NA,2019,13483456,Vinyl LPs (New),10/11/2019 1:14,Mint (M),Mint (M),eBay,get_importCDs,NA,Yes,10/10/2019,6/17/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/13483456,Rock,Art Rock,9,Vinyl,1,1235,358,4.57,91,6/17/2022,2019,40.5
WIGLP322,Blood Orange (2),Cupid Deluxe,Domino,"2xLP, Album",5,2013,5107143,Vinyl LPs (New),4/17/2016 1:46,NA,NA,"Park Ave CDs
",NA,NA,Yes x2,6/18/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/5107143,Electronic,New Wave,11,Vinyl,2,3257,1409,4.42,219,6/18/2022,2013,51
ABT034,Braids,In Kind / Amends,Arbutus Records,"12""",NA,2013,4642045,Vinyl LPs (New),1/31/2016 6:06,NA,NA,GoHastings,NA,NA,NA,6/20/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/4642045,Electronic,Experimental,4,Vinyl,1,131,19,4,11,6/20/2022,2013,24.5
ABT35,Braids,Flourish//Perish,Arbutus Records,"2xLP, Album",NA,2013,4845524,Vinyl LPs (New),4/5/2016 4:53,NA,NA,GoHastings,NA,NA,No x2,6/20/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/4845524,Electronic,Experimental,10,Vinyl,2,259,79,4.56,27,6/20/2022,2013,54
WIGLP421X,Blood Orange (2),Negro Swan,Domino,"2xLP, Album, Dlx, Ora",NA,2018,12612888,Vinyl LPs (New),10/16/2018 13:52,NA,NA,"Park Ave CDs
",NA,NA,"Yes x2
",6/20/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Orange, Orange",https://api.discogs.com/releases/12612888,Hip Hop,Contemporary R&B,16,Vinyl,2,489,522,4.67,39,6/20/2022,2018,49.5
"ABT045, FLCR030-LP",Braids,Deep In The Iris,"Arbutus Records, Flemish Eye","LP, Album, Ltd, Gre",4,2015,6950635,Vinyl LPs (New),5/5/2015 22:59,Mint (M),Mint (M),"Park Ave CDs
",NA,NA,No,5/10/2015,6/20/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green,https://api.discogs.com/releases/6950635,Electronic,Synth-pop,9,Vinyl,1,459,106,4.29,41,6/20/2022,2015,41.5
A&C135,Broken Social Scene,Hug Of Thunder,Arts & Crafts,"2xLP, Album",NA,2017,10533544,Vinyl LPs (New),12/6/2017 20:25,Mint (M),Mint (M),eBay,get_importCDs,NA,Yes x2,6/27/2021,6/20/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/10533544,Rock,Indie Rock,13,Vinyl,2,1793,175,4.19,110,6/20/2022,2017,52.3
WIGLP369,Blood Orange (2),Freetown Sound,Domino,"2xLP, Album",NA,2016,8922743,Vinyl LPs (New),12/13/2016 6:40,NA,NA,"Park Ave CDs
",NA,NA,Yes x2,12/14/2016,6/20/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/8922743,Electronic,Contemporary R&B,17,Vinyl,2,2164,767,4.39,120,6/20/2022,2016,58.7
JAG115,Bon Iver,"For Emma, Forever Ago",Jagjaguwar,"LP, Album",5,2008,1361007,Vinyl LPs (New),12/5/2014 2:32,Mint (M),Mint (M),Amazon,NA,Yes,"Yes
",12/6/2014,6/20/2022,2/13/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/1361007,Rock,Folk Rock,9,Vinyl,1,26102,5902,4.44,1703,6/20/2022,2008,37.25
163900-1,Built To Spill,Perfect From Now On,Warner Bros. Records,"2xLP, Album, Ltd, RE",NA,2007,1172320,Vinyl LPs (New),12/6/2017 20:34,NA,NA,Amazon,NA,NA,"No x2
",6/21/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/1172320,Rock,Indie Rock,9,Vinyl,2,4429,1102,4.61,366,6/21/2022,1997,54.2
163964-1,Built To Spill,Keep It Like A Secret,Warner Bros. Records,"2xLP, Album, Ltd, RE",NA,2007,1183693,Vinyl LPs (New),12/6/2017 20:34,NA,NA,"Amazon
",NA,NA,"No x2
",6/21/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/1183693,Rock,Alternative Rock,11,Vinyl,2,5975,1141,4.67,420,6/21/2022,1999,47
CAD 3X03,The National,High Violet,4AD,"2xLP, Album, 180",NA,2010,2265783,Vinyl LPs (New),4/16/2016 5:40,Mint (M),Mint (M),GoHastings,NA,NA,NA,6/22/2022,3/31/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/2265783,Rock,Indie Rock,11,Vinyl,2,4137,936,4.58,341,6/22/2022,2010,47.7
CAD3315,The National,Trouble Will Find Me,4AD,"2xLP, Album, Uni",NA,2013,4572816,Vinyl LPs (New),4/16/2016 5:12,NA,NA,GoHastings,NA,NA,NA,6/22/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/4572816,Rock,Indie Rock,13,Vinyl,2,14981,2309,4.44,1030,6/22/2022,2013,55
BBQLP 241,The National,Alligator,Beggars Banquet,"LP, Album",NA,2005,1183731,Vinyl LPs (New),4/16/2016 5:15,Mint (M),Mint (M),GoHastings,NA,NA,NA,6/22/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/1183731,Rock,Indie Rock,13,Vinyl,1,6457,1100,4.39,424,6/22/2022,2005,48
HWY-003,The National,Sad Songs For Dirty Lovers,Brassland,"LP, Album, RE",NA,2010,2362590,Vinyl LPs (New),4/16/2016 5:43,Mint (M),Mint (M),GoHastings,NA,NA,NA,6/22/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/2362590,Rock,Alternative Rock,12,Vinyl,1,1571,427,4.28,111,6/22/2022,2003,45
CAD 3530,EL VY,Return To The Moon,4AD,"LP, Album",NA,2015,7961193,Vinyl LPs (New),9/13/2016 14:22,Mint (M),Mint (M),UO,NA,NA,No,9/14/2016,6/22/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/7961193,Rock,Alternative Rock,11,Vinyl,1,2045,200,4.28,96,6/22/2022,2015,41.75
BBQLP 252,The National,Boxer,Beggars Banquet,"LP, Album, RE, Yel",NA,2011,3120491,Vinyl LPs (New),4/16/2016 5:21,Mint (M),Mint (M),GoHastings,NA,NA,NA,6/28/2021,6/22/2022,3/31/2023,NA,NA,NA,NA,NA,NA,NA,NA,Yellow,https://api.discogs.com/releases/3120491,Rock,Indie Rock,12,Vinyl,1,8323,1251,4.52,576,6/22/2022,2007,43
60250849963,The Avalanches,We Will Always Love You,"EMI, Modular Recordings, Astralwerks","2xLP, Album",NA,2020,16467366,Vinyl LPs (New),6/27/2022 14:43,Mint (M),Mint (M),"Target
",NA,No,Yes x2,6/27/2022,11/2/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/16467366,Electronic,Ambient,25,Vinyl,2,2206,413,4.53,152,6/27/2022,2020,71
B0035096-01,The Weeknd,Dawn FM,"XO, Republic Records","2xLP, Album",NA,2022,23000420,Vinyl LPs (New),6/27/2022 14:45,Mint (M),Mint (M),"Target
",NA,NA,Yes x2,6/27/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/23000420,Electronic,Contemporary R&B,16,Vinyl,2,6669,1056,4.57,334,6/27/2022,2022,51.8
"88985469051, C-198213","Tyler, The Creator",Flower Boy,"Columbia, Columbia","2x12"", Album, Gat",NA,2017,11195697,Vinyl LPs (New),7/1/2022 17:09,Near Mint (NM or M-),Very Good (VG),"Target
",NA,NA,Yes x2,6/30/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/11195697,Hip Hop,Jazzy Hip-Hop,14,Vinyl,2,23232,5844,4.57,1320,6/30/2022,2017,46.8
"88883716861, C 371686",Daft Punk,Random Access Memories,"Columbia, Columbia","2xLP, Album, RE, RP, 180",NA,2022,23575493,Vinyl LPs (New),6/27/2022 14:47,Mint (M),Mint (M),"Target
",NA,Yes,Yes x2,7/1/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/23575493,Electronic,Disco,13,Vinyl,2,3051,756,4.72,130,7/1/2022,2013,74
CT-158,DIIV,Oshin,Captured Tracks,"LP, Album",4,2012,3688134,Vinyl LPs (New),7/4/2014 22:37,Mint (M),Near Mint (NM or M-),UO,NA,NA,"Yes
",7/3/2014,8/15/2014,10/25/2014,4/24/2015,7/18/2021,7/4/2022,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/3688134,Rock,Lo-Fi,13,Vinyl,1,3636,1147,4.42,319,7/4/2022,2012,40.3
DOMDOC001LP,Julia Holter,In The Same Room,Domino,"2xLP, Album",NA,2017,10044036,Vinyl LPs (New),7/7/2022 15:08,Mint (M),Mint (M),"Target
",NA,NA,Yes x2,7/7/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/10044036,Pop,Indie Pop,11,Vinyl,2,511,105,4.26,46,7/7/2022,2017,59.5
"DNO 219, DNO219",Animal Collective,Merriweather Post Pavilion,"Domino, Domino","2xLP, Album, Dlx, 180",5,2009,1592118,Vinyl LPs (New),1/14/2014 11:00,Near Mint (NM or M-),Near Mint (NM or M-),"Park Ave CDs
",NA,NA,NA,7/8/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/1592118,Electronic,Indie Rock,11,Vinyl,2,13818,4564,4.46,1281,7/8/2022,2009,54.8
19439742441,"Daniele Marchitelli, Various",The New Pope,Milan,"2xLP, Comp, Gat",NA,2020,15384467,Vinyl LPs (New),7/9/2022 5:16,Mint (M),Mint (M),"Target
",NA,No,Yes x2,7/8/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/15384467,Stage & Screen,Soundtrack,26,Vinyl,2,126,44,4.64,14,7/8/2022,2020,78
FAT-SP08LP,Animal Collective,Sung Tongs,FatCat Records,"2xLP, Album, RE",NA,2011,2999723,Vinyl LPs (New),4/20/2016 11:29,Mint (M),Mint (M),GoHastings,NA,NA,NA,2/4/2022,7/8/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/2999723,Rock,Acoustic,12,Vinyl,2,1349,601,4.57,174,7/8/2022,2004,53
DNO310,Animal Collective,Centipede Hz,Domino,"2xLP, Album",4,2012,3865744,Vinyl LPs (New),12/29/2013 0:47,Mint (M),Mint (M),"Bananas
",NA,NA,NA,9/6/2014,2/1/2022,7/8/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/3865744,Electronic,Experimental,11,Vinyl,2,1623,233,3.86,140,7/8/2022,2012,53.5
"WIGLP501XM, WIGLP501",Animal Collective,Time Skiffs,"Domino, Domino","2x12"", Album, Ltd, Rub",NA,2022,22027441,Vinyl LPs (New),7/9/2022 5:14,Mint (M),Mint (M),eBay,eunislymn,No,Yes x2,7/9/2022,11/24/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red, Red",https://api.discogs.com/releases/22027441,Rock,Experimental,9,Vinyl,2,772,95,4.58,38,7/9/2022,2022,47
"FACT 10, R1-465628",Joy Division,Unknown Pleasures,"Factory, Rhino Records (2)","LP, Album, RE, RM, 180",NA,2015,7173475,Vinyl LPs (New),7/11/2022 15:57,Mint (M),Mint (M),"Amazon
",NA,NA,Yes,7/11/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/11/2018 12:00,NA,https://api.discogs.com/releases/7173475,Electronic,New Wave,12,Vinyl,1,7270,1850,4.63,535,7/11/2022,1979,39.5
R1-535341,Led Zeppelin,Led Zeppelin III,Atlantic,"LP, Album, RE, RM, 180",NA,2014,5770432,Vinyl LPs (New),2/9/2018 16:19,"Mint (M)
","Mint (M)
",Amazon,NA,NA,"Yes
",7/13/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/5770432,Rock,Classic Rock,10,Vinyl,1,11421,1263,4.66,925,7/13/2022,1970,43
"R1-535225, R1 535225",Led Zeppelin,Led Zeppelin II,"Atlantic, Atlantic","LP, Album, RE, RM, 180",NA,2014,7623681,Vinyl LPs (New),2/9/2018 16:19,"Mint (M)
","Mint (M)
",Amazon,NA,NA,"Yes
",7/13/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/7623681,Rock,Blues Rock,9,Vinyl,1,9421,1047,4.72,698,7/13/2022,1969,41.5
R1-535224,Led Zeppelin,Led Zeppelin,Atlantic,"LP, Album, RE, RM, 180",NA,2014,8605699,Vinyl LPs (New),2/9/2018 16:21,"Mint (M)
","Mint (M)
",Amazon,NA,NA,Yes,2/12/2018,7/13/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://api.discogs.com/releases/8605699,Rock,Blues Rock,9,Vinyl,1,8605,924,4.73,553,7/13/2022,1969,45
